count-ll	count-ll-pred-err	p2p-ll	total-ll	link-lambda-avg	link-lambda-stddev	link-lambda-min	link-lambda-max	plan-lambda-avg	plan-lambda-stddev	plan-lambda-min	plan-lambda-max	replan-count
-514387.7223096285	195900.9635112089	--	-514387.7223096285	-0.008914973162073275	0.1361815298275989	-8.253823651462952	6.826372700487886	-3.2600940280206014	4.468905754333749	-15.0	12.841879020417485	67449
-521685.9716152933	235436.2075707857	--	-521685.9716152933	-0.00889892559410156	0.1408848738807381	-8.233007981687031	8.151664550498825	-3.3260984718187125	4.601927687042651	-15.0	13.04471839116941	67212
-502693.55623229226	205187.65891044374	--	-502693.55623229226	-0.00885469975462354	0.1426214800013406	-9.134115818174998	9.371670421411894	-3.26659902371521	4.590917854938365	-15.0	12.183825798774059	67355
-519627.98336268816	230118.48155933732	--	-519627.98336268816	-0.009058622521032024	0.14099375706232062	-8.701273615196815	9.831226440485365	-3.323677938290052	4.546973929822307	-15.0	15.0	67307
-506312.69153426774	186725.49945104332	--	-506312.69153426774	-0.008781594491837493	0.1375241814118629	-8.301906666477535	9.488723674272114	-3.26885914165642	4.455353598194121	-15.0	15.0	67215
-520124.1266471164	206635.79986575688	--	-520124.1266471164	-0.009449199254850086	0.14297339468032555	-8.282738054293727	9.50226557548728	-3.41401802695336	4.619349584699016	-15.0	14.042278848418487	67280
-480819.25029308227	219111.08686336133	--	-480819.25029308227	-0.008976036903447766	0.14480829579218732	-8.856580578065278	9.639260177063221	-3.261918823029539	4.600316135350721	-15.0	14.86629005399724	66927
-480193.76025175565	199914.94457671707	--	-480193.76025175565	-0.008602919192015515	0.14088654687210955	-8.830465677083737	10.619719452241231	-3.0914240406824622	4.435113560836212	-15.0	14.380819376233879	67219
-511830.39521342993	228538.8861055423	--	-511830.39521342993	-0.00868276553516771	0.14304552185135816	-8.805494323815951	11.204518750608926	-3.205636221895307	4.566313684089969	-15.0	15.0	66962
-517225.8159444272	213166.78964071788	--	-517225.8159444272	-0.008783302292155506	0.1470493386696736	-8.70906938319975	12.450886553433252	-3.219098090259373	4.600472725787425	-15.0	15.0	67375
-485394.8144273074	204754.20867367755	--	-485394.8144273074	-0.00871050253136315	0.14553855218302006	-8.53391111892899	12.780525653592656	-3.2220490028337614	4.620283702448213	-15.0	15.0	67143
-552069.0782488983	228880.41630218655	--	-552069.0782488983	-0.008537106153277322	0.15757588964819633	-8.51342753827195	13.725544488379962	-3.1091973272314832	4.710717142522269	-15.0	15.0	66969
-505434.51012916915	207440.0281041483	--	-505434.51012916915	-0.008867559162621313	0.14182410901735196	-8.431191855826686	10.833486951465671	-3.31361614807224	4.537018819039242	-15.0	14.147288875514128	67332
-475580.6947332099	204817.22112702942	--	-475580.6947332099	-0.008993352870455494	0.14172695628868462	-8.275269297551706	11.209678675329723	-3.2638994944826574	4.512366181290702	-15.0	14.096012546928694	67085
