iteration;BEGIN iteration;BEGIN iterationStartsListeners;END iterationStartsListeners;BEGIN replanning;END replanning;BEGIN beforeMobsimListeners;BEGIN dump all plans;END dump all plans;END beforeMobsimListeners;BEGIN prepareForMobsim;END prepareForMobsim;BEGIN mobsim;END mobsim;BEGIN afterMobsimListeners;END afterMobsimListeners;BEGIN scoring;END scoring;BEGIN iterationEndsListeners;BEGIN compare with counts;END compare with counts;END iterationEndsListeners;END iteration;;iterationStartsListeners;replanning;dump all plans;beforeMobsimListeners;prepareForMobsim;mobsim;afterMobsimListeners;scoring;compare with counts;iterationEndsListeners;iteration
152;06:18:09;06:18:09;06:18:09;06:18:09;06:20:36;06:20:36;;;06:20:36;06:20:36;06:20:41;06:20:41;06:23:48;06:23:48;06:23:48;06:23:48;06:23:49;06:23:49;;;06:23:52;06:23:52;;00:00:00;00:02:26;;00:00:00;00:00:04;00:03:07;00:00:00;00:00:00;;00:00:03;00:05:42
153;06:23:52;06:23:52;06:23:52;06:23:52;06:26:20;06:26:20;;;06:26:21;06:26:21;06:26:25;06:26:25;06:29:30;06:29:30;06:29:30;06:29:30;06:29:31;06:29:31;;;06:29:34;06:29:34;;00:00:00;00:02:28;;00:00:00;00:00:04;00:03:04;00:00:00;00:00:00;;00:00:03;00:05:41
154;06:29:34;06:29:34;06:29:34;06:29:34;06:31:50;06:31:50;;;06:31:51;06:31:51;06:31:56;06:31:56;06:34:59;06:34:59;06:34:59;06:34:59;06:34:59;06:34:59;;;06:35:02;06:35:02;;00:00:00;00:02:16;;00:00:00;00:00:04;00:03:02;00:00:00;00:00:00;;00:00:03;00:05:28
155;06:35:02;06:35:02;06:35:02;06:35:02;06:37:31;06:37:31;;;06:37:31;06:37:31;06:37:36;06:37:36;06:40:37;06:40:37;06:40:37;06:40:37;06:40:38;06:40:38;;;06:40:41;06:40:41;;00:00:00;00:02:28;;00:00:00;00:00:04;00:03:01;00:00:00;00:00:00;;00:00:03;00:05:38
156;06:40:41;06:40:41;06:40:41;06:40:41;06:43:04;06:43:04;;;06:43:04;06:43:04;06:43:09;06:43:09;06:46:13;06:46:13;06:46:13;06:46:13;06:46:13;06:46:13;;;06:46:16;06:46:16;;00:00:00;00:02:22;;00:00:00;00:00:04;00:03:03;00:00:00;00:00:00;;00:00:03;00:05:35
157;06:46:17;06:46:17;06:46:17;06:46:17;06:48:38;06:48:38;;;06:48:39;06:48:39;06:48:43;06:48:43;06:51:47;06:51:47;06:51:47;06:51:47;06:51:47;06:51:47;;;06:51:51;06:51:51;;00:00:00;00:02:21;;00:00:00;00:00:04;00:03:03;00:00:00;00:00:00;;00:00:03;00:05:34
158;06:51:51;06:51:51;06:51:51;06:51:51;06:54:17;06:54:17;;;06:54:18;06:54:18;06:54:23;06:54:23;06:57:27;06:57:27;06:57:27;06:57:27;06:57:28;06:57:28;;;06:57:31;06:57:31;;00:00:00;00:02:26;;00:00:00;00:00:04;00:03:04;00:00:00;00:00:00;;00:00:03;00:05:40
159;06:57:31;06:57:31;06:57:31;06:57:31;06:59:52;06:59:52;;;06:59:53;06:59:53;06:59:57;06:59:57;07:03:07;07:03:07;07:03:07;07:03:07;07:03:07;07:03:07;;;07:03:10;07:03:10;;00:00:00;00:02:21;;00:00:00;00:00:04;00:03:09;00:00:00;00:00:00;;00:00:03;00:05:39
160;07:03:10;07:03:10;07:03:11;07:03:11;07:05:39;07:05:39;07:05:39;07:06:56;07:06:57;07:06:57;07:07:01;07:07:01;07:12:25;07:12:25;07:12:25;07:12:25;07:12:26;07:12:26;07:12:26;07:12:26;07:12:29;07:12:29;;00:00:00;00:02:28;00:01:17;00:01:17;00:00:04;00:05:24;00:00:00;00:00:00;00:00:00;00:00:03;00:09:18
161;07:12:29;07:12:29;07:12:29;07:12:29;07:15:09;07:15:09;;;07:15:09;07:15:09;07:15:14;07:15:14;07:18:23;07:18:23;07:18:23;07:18:23;07:18:23;07:18:23;;;07:18:26;07:18:26;;00:00:00;00:02:39;;00:00:00;00:00:04;00:03:08;00:00:00;00:00:00;;00:00:03;00:05:57
162;07:18:26;07:18:26;07:18:26;07:18:26;07:21:01;07:21:01;;;07:21:01;07:21:01;07:21:06;07:21:06;07:24:10;07:24:10;07:24:10;07:24:10;07:24:10;07:24:10;;;07:24:13;07:24:13;;00:00:00;00:02:34;;00:00:00;00:00:04;00:03:03;00:00:00;00:00:00;;00:00:03;00:05:46
163;07:24:13;07:24:13;07:24:13;07:24:13;07:26:33;07:26:33;;;07:26:34;07:26:34;07:26:38;07:26:38;07:29:48;07:29:48;07:29:49;07:29:49;07:29:49;07:29:49;;;07:29:52;07:29:52;;00:00:00;00:02:19;;00:00:00;00:00:04;00:03:10;00:00:00;00:00:00;;00:00:03;00:05:38
164;07:29:52;07:29:52;07:29:52;07:29:52;07:32:16;07:32:16;;;07:32:16;07:32:16;07:32:20;07:32:20;07:35:29;07:35:29;07:35:29;07:35:29;07:35:29;07:35:29;;;07:35:32;07:35:32;;00:00:00;00:02:23;;00:00:00;00:00:04;00:03:08;00:00:00;00:00:00;;00:00:03;00:05:40
165;07:35:32;07:35:32;07:35:33;07:35:33;07:37:53;07:37:53;;;07:37:53;07:37:53;07:37:58;07:37:58;07:41:02;07:41:02;07:41:02;07:41:02;07:41:02;07:41:02;;;07:41:05;07:41:05;;00:00:00;00:02:20;;00:00:00;00:00:04;00:03:03;00:00:00;00:00:00;;00:00:02;00:05:32
166;07:41:05;07:41:05;07:41:06;07:41:06;07:43:23;07:43:23;;;07:43:23;07:43:23;07:43:28;07:43:28;07:46:29;07:46:29;07:46:29;07:46:29;07:46:30;07:46:30;;;07:46:33;07:46:33;;00:00:00;00:02:17;;00:00:00;00:00:04;00:03:01;00:00:00;00:00:00;;00:00:03;00:05:27
167;07:46:33;07:46:33;07:46:33;07:46:33;07:48:57;07:48:57;;;07:48:57;07:48:57;07:49:02;07:49:02;07:52:04;07:52:04;07:52:04;07:52:04;07:52:04;07:52:04;;;07:52:07;07:52:07;;00:00:00;00:02:23;;00:00:00;00:00:04;00:03:01;00:00:00;00:00:00;;00:00:03;00:05:34
168;07:52:07;07:52:07;07:52:07;07:52:07;07:54:41;07:54:41;;;07:54:41;07:54:41;07:54:46;07:54:46;07:57:52;07:57:52;07:57:52;07:57:52;07:57:53;07:57:53;;;07:57:56;07:57:56;;00:00:00;00:02:33;;00:00:00;00:00:04;00:03:06;00:00:00;00:00:00;;00:00:03;00:05:48
169;07:57:56;07:57:56;07:57:56;07:57:56;08:00:20;08:00:20;;;08:00:21;08:00:21;08:00:25;08:00:25;08:03:34;08:03:34;08:03:34;08:03:34;08:03:34;08:03:34;;;08:03:37;08:03:37;;00:00:00;00:02:24;;00:00:00;00:00:04;00:03:08;00:00:00;00:00:00;;00:00:03;00:05:41
170;08:03:37;08:03:37;08:03:38;08:03:38;08:06:01;08:06:01;08:06:01;08:07:17;08:07:17;08:07:17;08:07:21;08:07:21;08:12:43;08:12:43;08:12:43;08:12:43;08:12:43;08:12:43;08:12:43;08:12:43;08:12:46;08:12:46;;00:00:00;00:02:23;00:01:15;00:01:15;00:00:04;00:05:21;00:00:00;00:00:00;00:00:00;00:00:03;00:09:08
171;08:12:46;08:12:46;08:12:46;08:12:46;08:15:07;08:15:07;;;08:15:08;08:15:08;08:15:12;08:15:12;08:18:11;08:18:11;08:18:11;08:18:11;08:18:12;08:18:12;;;08:18:15;08:18:15;;00:00:00;00:02:20;;00:00:00;00:00:04;00:02:59;00:00:00;00:00:00;;00:00:03;00:05:28
172;08:18:15;08:18:15;08:18:15;08:18:15;08:20:35;08:20:35;;;08:20:35;08:20:35;08:20:39;08:20:39;08:23:40;08:23:40;08:23:40;08:23:40;08:23:41;08:23:41;;;08:23:44;08:23:44;;00:00:00;00:02:19;;00:00:00;00:00:04;00:03:00;00:00:00;00:00:00;;00:00:03;00:05:29
173;08:23:44;08:23:44;08:23:44;08:23:44;08:26:08;08:26:08;;;08:26:09;08:26:09;08:26:14;08:26:14;08:29:15;08:29:15;08:29:15;08:29:15;08:29:16;08:29:16;;;08:29:19;08:29:19;;00:00:00;00:02:23;;00:00:00;00:00:04;00:03:01;00:00:00;00:00:00;;00:00:03;00:05:34
174;08:29:19;08:29:19;08:29:19;08:29:19;08:31:43;08:31:43;;;08:31:44;08:31:44;08:31:48;08:31:48;08:34:50;08:34:50;08:34:51;08:34:51;08:34:51;08:34:51;;;08:34:54;08:34:54;;00:00:00;00:02:24;;00:00:00;00:00:04;00:03:02;00:00:00;00:00:00;;00:00:03;00:05:35
175;08:34:54;08:34:54;08:34:54;08:34:54;08:37:19;08:37:19;;;08:37:19;08:37:19;08:37:24;08:37:24;08:40:24;08:40:24;08:40:24;08:40:24;08:40:25;08:40:25;;;08:40:28;08:40:28;;00:00:00;00:02:24;;00:00:00;00:00:04;00:03:00;00:00:00;00:00:00;;00:00:03;00:05:33
176;08:40:28;08:40:28;08:40:28;08:40:28;08:42:54;08:42:54;;;08:42:54;08:42:54;08:42:59;08:42:59;08:46:06;08:46:06;08:46:06;08:46:06;08:46:07;08:46:07;;;08:46:10;08:46:10;;00:00:00;00:02:25;;00:00:00;00:00:04;00:03:07;00:00:00;00:00:00;;00:00:03;00:05:41
177;08:46:10;08:46:10;08:46:10;08:46:10;08:48:45;08:48:45;;;08:48:45;08:48:45;08:48:50;08:48:50;08:51:53;08:51:53;08:51:53;08:51:53;08:51:53;08:51:53;;;08:51:56;08:51:56;;00:00:00;00:02:34;;00:00:00;00:00:04;00:03:03;00:00:00;00:00:00;;00:00:03;00:05:46
178;08:51:56;08:51:56;08:51:57;08:51:57;08:54:24;08:54:24;;;08:54:24;08:54:24;08:54:29;08:54:29;08:57:29;08:57:29;08:57:29;08:57:29;08:57:30;08:57:30;;;08:57:33;08:57:33;;00:00:00;00:02:27;;00:00:00;00:00:04;00:02:59;00:00:00;00:00:00;;00:00:03;00:05:36
179;08:57:33;08:57:33;08:57:34;08:57:34;08:59:56;08:59:56;;;08:59:57;08:59:57;09:00:01;09:00:01;09:03:10;09:03:10;09:03:10;09:03:10;09:03:11;09:03:11;;;09:03:14;09:03:14;;00:00:00;00:02:22;;00:00:00;00:00:04;00:03:09;00:00:00;00:00:00;;00:00:03;00:05:40
180;09:03:14;09:03:14;09:03:14;09:03:14;09:05:47;09:05:47;09:05:47;09:07:03;09:07:04;09:07:04;09:07:08;09:07:08;09:12:31;09:12:31;09:12:31;09:12:31;09:12:31;09:12:31;09:12:31;09:12:31;09:12:34;09:12:34;;00:00:00;00:02:33;00:01:16;00:01:16;00:00:04;00:05:22;00:00:00;00:00:00;00:00:00;00:00:03;00:09:20
181;09:12:34;09:12:34;09:12:35;09:12:35;09:12:35;09:12:35;;;09:12:35;09:12:35;09:12:40;09:12:40;09:15:43;09:15:43;09:15:43;09:15:43;09:15:44;09:15:44;;;09:15:47;09:15:47;;00:00:00;00:00:00;;00:00:00;00:00:04;00:03:03;00:00:00;00:00:00;;00:00:03;00:03:12
182;09:15:47;09:15:47;09:15:47;09:15:47;09:15:47;09:15:47;;;09:15:48;09:15:48;09:15:52;09:15:52;09:18:59;09:18:59;09:18:59;09:18:59;09:19:00;09:19:00;;;09:19:02;09:19:02;;00:00:00;00:00:00;;00:00:00;00:00:04;00:03:07;00:00:00;00:00:00;;00:00:02;00:03:15
183;09:19:03;09:19:03;09:19:03;09:19:03;09:19:03;09:19:03;;;09:19:03;09:19:03;09:19:09;09:19:09;09:22:15;09:22:15;09:22:15;09:22:15;09:22:16;09:22:16;;;09:22:19;09:22:19;;00:00:00;00:00:00;;00:00:00;00:00:05;00:03:06;00:00:00;00:00:00;;00:00:03;00:03:16
184;09:22:19;09:22:19;09:22:19;09:22:19;09:22:19;09:22:19;;;09:22:20;09:22:20;09:22:24;09:22:24;09:25:34;09:25:34;09:25:34;09:25:34;09:25:34;09:25:34;;;09:25:37;09:25:37;;00:00:00;00:00:00;;00:00:00;00:00:04;00:03:09;00:00:00;00:00:00;;00:00:03;00:03:18
185;09:25:37;09:25:37;09:25:38;09:25:38;09:25:38;09:25:38;;;09:25:38;09:25:38;09:25:43;09:25:43;09:28:53;09:28:53;09:28:53;09:28:53;09:28:54;09:28:54;;;09:28:57;09:28:57;;00:00:00;00:00:00;;00:00:00;00:00:04;00:03:09;00:00:00;00:00:00;;00:00:03;00:03:19
186;09:28:57;09:28:57;09:28:57;09:28:57;09:28:57;09:28:57;;;09:28:58;09:28:58;09:29:03;09:29:03;09:32:12;09:32:12;09:32:12;09:32:12;09:32:12;09:32:12;;;09:32:16;09:32:16;;00:00:00;00:00:00;;00:00:00;00:00:04;00:03:09;00:00:00;00:00:00;;00:00:03;00:03:18
187;09:32:16;09:32:16;09:32:16;09:32:16;09:32:16;09:32:16;;;09:32:17;09:32:17;09:32:21;09:32:21;09:35:26;09:35:26;09:35:26;09:35:26;09:35:27;09:35:27;;;09:35:30;09:35:30;;00:00:00;00:00:00;;00:00:00;00:00:04;00:03:05;00:00:00;00:00:00;;00:00:03;00:03:14
188;09:35:30;09:35:30;09:35:30;09:35:30;09:35:30;09:35:30;;;09:35:31;09:35:31;09:35:35;09:35:35;09:38:39;09:38:39;09:38:39;09:38:39;09:38:40;09:38:40;;;09:38:43;09:38:43;;00:00:00;00:00:00;;00:00:00;00:00:04;00:03:04;00:00:00;00:00:00;;00:00:03;00:03:13
189;09:38:43;09:38:43;09:38:43;09:38:43;09:38:44;09:38:44;;;09:38:44;09:38:44;09:38:48;09:38:48;09:41:51;09:41:51;09:41:52;09:41:52;09:41:52;09:41:52;;;09:41:55;09:41:55;;00:00:00;00:00:00;;00:00:00;00:00:04;00:03:02;00:00:00;00:00:00;;00:00:03;00:03:11
190;09:41:55;09:41:55;09:41:55;09:41:55;09:41:55;09:41:55;09:41:55;09:43:09;09:43:10;09:43:10;09:43:13;09:43:13;09:48:36;09:48:36;09:48:37;09:48:37;09:48:37;09:48:37;09:48:37;09:48:37;09:48:40;09:48:40;;00:00:00;00:00:00;00:01:13;00:01:14;00:00:03;00:05:22;00:00:00;00:00:00;00:00:00;00:00:02;00:06:44
191;09:48:40;09:48:40;09:48:40;09:48:40;09:48:40;09:48:40;;;09:48:41;09:48:41;09:48:45;09:48:45;09:51:48;09:51:48;09:51:48;09:51:48;09:51:48;09:51:48;;;09:51:51;09:51:51;;00:00:00;00:00:00;;00:00:00;00:00:04;00:03:02;00:00:00;00:00:00;;00:00:03;00:03:11
192;09:51:52;09:51:52;09:51:52;09:51:52;09:51:52;09:51:52;;;09:51:52;09:51:52;09:51:57;09:51:57;09:55:02;09:55:02;09:55:02;09:55:02;09:55:02;09:55:02;;;09:55:05;09:55:05;;00:00:00;00:00:00;;00:00:00;00:00:04;00:03:04;00:00:00;00:00:00;;00:00:03;00:03:13
193;09:55:05;09:55:05;09:55:05;09:55:05;09:55:06;09:55:06;;;09:55:06;09:55:06;09:55:11;09:55:11;09:58:15;09:58:15;09:58:15;09:58:15;09:58:16;09:58:16;;;09:58:19;09:58:19;;00:00:00;00:00:00;;00:00:00;00:00:04;00:03:04;00:00:00;00:00:00;;00:00:03;00:03:13
194;09:58:19;09:58:19;09:58:19;09:58:19;09:58:19;09:58:19;;;09:58:20;09:58:20;09:58:24;09:58:24;10:01:26;10:01:26;10:01:26;10:01:26;10:01:26;10:01:26;;;10:01:29;10:01:29;;00:00:00;00:00:00;;00:00:00;00:00:04;00:03:02;00:00:00;00:00:00;;00:00:02;00:03:10
195;10:01:30;10:01:30;10:01:30;10:01:30;10:01:30;10:01:30;;;10:01:31;10:01:31;10:01:35;10:01:35;10:04:43;10:04:43;10:04:43;10:04:43;10:04:43;10:04:43;;;10:04:46;10:04:46;;00:00:00;00:00:00;;00:00:00;00:00:04;00:03:07;00:00:00;00:00:00;;00:00:03;00:03:16
196;10:04:47;10:04:47;10:04:47;10:04:47;10:04:47;10:04:47;;;10:04:47;10:04:47;10:04:52;10:04:52;10:07:55;10:07:55;10:07:56;10:07:56;10:07:56;10:07:56;;;10:07:59;10:07:59;;00:00:00;00:00:00;;00:00:00;00:00:04;00:03:03;00:00:00;00:00:00;;00:00:03;00:03:12
197;10:07:59;10:07:59;10:07:59;10:07:59;10:08:00;10:08:00;;;10:08:00;10:08:00;10:08:04;10:08:04;10:11:10;10:11:10;10:11:10;10:11:10;10:11:11;10:11:11;;;10:11:14;10:11:14;;00:00:00;00:00:00;;00:00:00;00:00:04;00:03:06;00:00:00;00:00:00;;00:00:03;00:03:14
198;10:11:14;10:11:14;10:11:15;10:11:15;10:11:15;10:11:15;;;10:11:15;10:11:15;10:11:20;10:11:20;10:14:25;10:14:25;10:14:25;10:14:25;10:14:26;10:14:26;;;10:14:29;10:14:29;;00:00:00;00:00:00;;00:00:00;00:00:04;00:03:05;00:00:00;00:00:00;;00:00:03;00:03:14
199;10:14:29;10:14:29;10:14:29;10:14:29;10:14:29;10:14:29;;;10:14:30;10:14:30;10:14:35;10:14:35;10:17:45;10:17:45;10:17:46;10:17:46;10:17:46;10:17:46;;;10:17:49;10:17:49;;00:00:00;00:00:00;;00:00:00;00:00:04;00:03:10;00:00:00;00:00:00;;00:00:03;00:03:20
200;10:17:49;10:17:49;10:17:50;10:17:50;10:17:50;10:17:50;10:17:50;10:19:03;10:19:04;10:19:04;10:19:08;10:19:08;10:24:35;10:24:35;10:24:35;10:24:35;10:24:35;10:24:35;10:24:35;10:24:36;10:25:06;10:25:06;;00:00:00;00:00:00;00:01:13;00:01:14;00:00:04;00:05:27;00:00:00;00:00:00;00:00:00;00:00:30;00:07:16
