iteration;BEGIN iteration;BEGIN iterationStartsListeners;END iterationStartsListeners;BEGIN replanning;END replanning;BEGIN beforeMobsimListeners;BEGIN dump all plans;END dump all plans;END beforeMobsimListeners;BEGIN prepareForMobsim;END prepareForMobsim;BEGIN mobsim;END mobsim;BEGIN afterMobsimListeners;END afterMobsimListeners;BEGIN scoring;END scoring;BEGIN iterationEndsListeners;BEGIN compare with counts;END compare with counts;END iterationEndsListeners;END iteration;;iterationStartsListeners;replanning;dump all plans;beforeMobsimListeners;prepareForMobsim;mobsim;afterMobsimListeners;scoring;compare with counts;iterationEndsListeners;iteration
43;19:25:06;19:25:06;19:25:06;19:25:06;19:27:26;19:27:26;;;19:27:27;19:27:27;19:27:31;19:27:31;19:30:22;19:30:22;19:30:22;19:30:22;19:30:23;19:30:23;;;19:30:26;19:30:26;;00:00:00;00:02:19;;00:00:00;00:00:04;00:02:50;00:00:00;00:00:00;;00:00:03;00:05:19
44;19:30:26;19:30:26;19:30:26;19:30:26;19:32:59;19:32:59;;;19:32:59;19:32:59;19:33:04;19:33:04;19:35:59;19:35:59;19:35:59;19:35:59;19:35:59;19:35:59;;;19:36:02;19:36:02;;00:00:00;00:02:32;;00:00:00;00:00:04;00:02:54;00:00:00;00:00:00;;00:00:03;00:05:36
45;19:36:02;19:36:02;19:36:03;19:36:03;19:38:23;19:38:23;;;19:38:24;19:38:24;19:38:29;19:38:29;19:41:22;19:41:22;19:41:22;19:41:22;19:41:23;19:41:23;;;19:41:26;19:41:26;;00:00:00;00:02:20;;00:00:00;00:00:05;00:02:53;00:00:00;00:00:00;;00:00:03;00:05:23
46;19:41:26;19:41:26;19:41:26;19:41:26;19:43:57;19:43:57;;;19:43:58;19:43:58;19:44:03;19:44:03;19:46:57;19:46:57;19:46:57;19:46:57;19:46:57;19:46:57;;;19:47:01;19:47:01;;00:00:00;00:02:31;;00:00:00;00:00:04;00:02:54;00:00:00;00:00:00;;00:00:03;00:05:35
47;19:47:01;19:47:01;19:47:01;19:47:01;19:49:31;19:49:31;;;19:49:32;19:49:32;19:49:37;19:49:37;19:52:32;19:52:32;19:52:32;19:52:32;19:52:32;19:52:32;;;19:52:36;19:52:36;;00:00:00;00:02:30;;00:00:00;00:00:05;00:02:54;00:00:00;00:00:00;;00:00:03;00:05:34
48;19:52:36;19:52:36;19:52:36;19:52:36;19:54:57;19:54:57;;;19:54:58;19:54:58;19:55:02;19:55:02;19:57:57;19:57:57;19:57:57;19:57:57;19:57:58;19:57:58;;;19:58:01;19:58:01;;00:00:00;00:02:21;;00:00:00;00:00:04;00:02:54;00:00:00;00:00:00;;00:00:03;00:05:25
49;19:58:01;19:58:01;19:58:01;19:58:01;20:00:22;20:00:22;;;20:00:23;20:00:23;20:00:27;20:00:27;20:03:26;20:03:26;20:03:26;20:03:26;20:03:27;20:03:27;;;20:03:30;20:03:30;;00:00:00;00:02:20;;00:00:00;00:00:04;00:02:58;00:00:00;00:00:00;;00:00:03;00:05:29
50;20:03:30;20:03:30;20:03:31;20:03:31;20:05:56;20:05:56;20:05:56;20:07:14;20:07:14;20:07:14;20:07:19;20:07:19;20:12:33;20:12:33;20:12:33;20:12:33;20:12:33;20:12:33;20:12:33;20:12:33;20:13:04;20:13:04;;00:00:00;00:02:25;00:01:17;00:01:18;00:00:04;00:05:14;00:00:00;00:00:00;00:00:00;00:00:30;00:09:33
51;20:13:04;20:13:04;20:13:04;20:13:04;20:15:32;20:15:32;;;20:15:33;20:15:33;20:15:37;20:15:37;20:18:35;20:18:35;20:18:35;20:18:35;20:18:36;20:18:36;;;20:18:39;20:18:39;;00:00:00;00:02:27;;00:00:00;00:00:04;00:02:58;00:00:00;00:00:00;;00:00:03;00:05:34
52;20:18:39;20:18:39;20:18:39;20:18:39;20:21:04;20:21:04;;;20:21:04;20:21:04;20:21:09;20:21:09;20:24:08;20:24:08;20:24:08;20:24:08;20:24:08;20:24:08;;;20:24:11;20:24:11;;00:00:00;00:02:24;;00:00:00;00:00:04;00:02:58;00:00:00;00:00:00;;00:00:03;00:05:32
53;20:24:12;20:24:12;20:24:12;20:24:12;20:26:32;20:26:32;;;20:26:32;20:26:32;20:26:37;20:26:37;20:29:36;20:29:36;20:29:36;20:29:36;20:29:36;20:29:36;;;20:29:40;20:29:40;;00:00:00;00:02:20;;00:00:00;00:00:04;00:02:59;00:00:00;00:00:00;;00:00:03;00:05:27
54;20:29:40;20:29:40;20:29:40;20:29:40;20:32:19;20:32:19;;;20:32:20;20:32:20;20:32:24;20:32:24;20:35:25;20:35:25;20:35:25;20:35:25;20:35:25;20:35:25;;;20:35:28;20:35:28;;00:00:00;00:02:39;;00:00:00;00:00:04;00:03:00;00:00:00;00:00:00;;00:00:03;00:05:48
55;20:35:28;20:35:28;20:35:29;20:35:29;20:37:57;20:37:57;;;20:37:57;20:37:57;20:38:02;20:38:02;20:40:57;20:40:57;20:40:57;20:40:57;20:40:57;20:40:57;;;20:41:01;20:41:01;;00:00:00;00:02:28;;00:00:00;00:00:04;00:02:55;00:00:00;00:00:00;;00:00:03;00:05:32
56;20:41:01;20:41:01;20:41:01;20:41:01;20:43:22;20:43:22;;;20:43:22;20:43:22;20:43:27;20:43:27;20:46:23;20:46:23;20:46:23;20:46:23;20:46:23;20:46:23;;;20:46:26;20:46:26;;00:00:00;00:02:20;;00:00:00;00:00:04;00:02:55;00:00:00;00:00:00;;00:00:03;00:05:25
57;20:46:26;20:46:26;20:46:26;20:46:26;20:48:54;20:48:54;;;20:48:55;20:48:55;20:48:59;20:48:59;20:51:57;20:51:57;20:51:57;20:51:57;20:51:57;20:51:57;;;20:52:01;20:52:01;;00:00:00;00:02:28;;00:00:00;00:00:04;00:02:57;00:00:00;00:00:00;;00:00:03;00:05:34
58;20:52:01;20:52:01;20:52:01;20:52:01;20:54:21;20:54:21;;;20:54:22;20:54:22;20:54:26;20:54:26;20:57:24;20:57:24;20:57:24;20:57:24;20:57:25;20:57:25;;;20:57:28;20:57:28;;00:00:00;00:02:20;;00:00:00;00:00:04;00:02:58;00:00:00;00:00:00;;00:00:03;00:05:27
59;20:57:28;20:57:28;20:57:28;20:57:28;20:59:53;20:59:53;;;20:59:54;20:59:54;20:59:58;20:59:58;21:02:55;21:02:55;21:02:55;21:02:55;21:02:55;21:02:55;;;21:02:58;21:02:58;;00:00:00;00:02:25;;00:00:00;00:00:04;00:02:56;00:00:00;00:00:00;;00:00:03;00:05:30
60;21:02:58;21:02:58;21:02:59;21:02:59;21:05:13;21:05:13;21:05:13;21:06:33;21:06:34;21:06:34;21:06:39;21:06:39;21:11:51;21:11:51;21:11:51;21:11:51;21:11:51;21:11:51;21:11:51;21:11:51;21:11:54;21:11:54;;00:00:00;00:02:14;00:01:20;00:01:20;00:00:04;00:05:12;00:00:00;00:00:00;00:00:00;00:00:03;00:08:55
61;21:11:54;21:11:54;21:11:55;21:11:55;21:14:16;21:14:16;;;21:14:16;21:14:16;21:14:21;21:14:21;21:17:18;21:17:18;21:17:18;21:17:18;21:17:18;21:17:18;;;21:17:21;21:17:21;;00:00:00;00:02:21;;00:00:00;00:00:04;00:02:57;00:00:00;00:00:00;;00:00:03;00:05:26
62;21:17:21;21:17:21;21:17:22;21:17:22;21:19:50;21:19:50;;;21:19:51;21:19:51;21:19:56;21:19:56;21:22:54;21:22:54;21:22:54;21:22:54;21:22:55;21:22:55;;;21:22:58;21:22:58;;00:00:00;00:02:28;;00:00:00;00:00:04;00:02:58;00:00:00;00:00:00;;00:00:02;00:05:36
63;21:22:58;21:22:58;21:22:58;21:22:58;21:25:23;21:25:23;;;21:25:23;21:25:23;21:25:28;21:25:28;21:28:27;21:28:27;21:28:27;21:28:27;21:28:27;21:28:27;;;21:28:30;21:28:30;;00:00:00;00:02:24;;00:00:00;00:00:04;00:02:58;00:00:00;00:00:00;;00:00:03;00:05:32
64;21:28:30;21:28:30;21:28:30;21:28:30;21:30:57;21:30:57;;;21:30:57;21:30:57;21:31:02;21:31:02;21:34:01;21:34:01;21:34:01;21:34:01;21:34:01;21:34:01;;;21:34:04;21:34:04;;00:00:00;00:02:26;;00:00:00;00:00:04;00:02:58;00:00:00;00:00:00;;00:00:02;00:05:34
65;21:34:04;21:34:04;21:34:05;21:34:05;21:36:25;21:36:25;;;21:36:25;21:36:25;21:36:30;21:36:30;21:39:27;21:39:27;21:39:27;21:39:27;21:39:28;21:39:28;;;21:39:31;21:39:31;;00:00:00;00:02:20;;00:00:00;00:00:04;00:02:57;00:00:00;00:00:00;;00:00:03;00:05:26
66;21:39:31;21:39:31;21:39:31;21:39:31;21:41:50;21:41:50;;;21:41:51;21:41:51;21:41:56;21:41:56;21:44:52;21:44:52;21:44:52;21:44:52;21:44:53;21:44:53;;;21:44:56;21:44:56;;00:00:00;00:02:19;;00:00:00;00:00:04;00:02:56;00:00:00;00:00:00;;00:00:03;00:05:24
67;21:44:56;21:44:56;21:44:56;21:44:56;21:47:26;21:47:26;;;21:47:26;21:47:26;21:47:31;21:47:31;21:50:36;21:50:36;21:50:36;21:50:36;21:50:36;21:50:36;;;21:50:39;21:50:39;;00:00:00;00:02:29;;00:00:00;00:00:04;00:03:05;00:00:00;00:00:00;;00:00:03;00:05:43
68;21:50:39;21:50:39;21:50:40;21:50:40;21:53:13;21:53:13;;;21:53:14;21:53:14;21:53:18;21:53:18;21:56:19;21:56:19;21:56:19;21:56:19;21:56:19;21:56:19;;;21:56:22;21:56:22;;00:00:00;00:02:33;;00:00:00;00:00:04;00:03:00;00:00:00;00:00:00;;00:00:03;00:05:42
69;21:56:22;21:56:22;21:56:23;21:56:23;21:58:40;21:58:40;;;21:58:40;21:58:40;21:58:45;21:58:45;22:01:45;22:01:45;22:01:45;22:01:45;22:01:45;22:01:45;;;22:01:48;22:01:48;;00:00:00;00:02:17;;00:00:00;00:00:04;00:02:59;00:00:00;00:00:00;;00:00:02;00:05:25
70;22:01:48;22:01:48;22:01:48;22:01:48;22:04:20;22:04:20;22:04:20;22:05:38;22:05:38;22:05:38;22:05:43;22:05:43;22:10:58;22:10:58;22:10:58;22:10:58;22:10:58;22:10:58;22:10:58;22:10:58;22:11:01;22:11:01;;00:00:00;00:02:31;00:01:17;00:01:18;00:00:04;00:05:15;00:00:00;00:00:00;00:00:00;00:00:03;00:09:13
71;22:11:01;22:11:01;22:11:02;22:11:02;22:13:40;22:13:40;;;22:13:40;22:13:40;22:13:45;22:13:45;22:16:45;22:16:45;22:16:45;22:16:45;22:16:45;22:16:45;;;22:16:49;22:16:49;;00:00:00;00:02:38;;00:00:00;00:00:04;00:03:00;00:00:00;00:00:00;;00:00:03;00:05:47
72;22:16:49;22:16:49;22:16:49;22:16:49;22:19:19;22:19:19;;;22:19:20;22:19:20;22:19:24;22:19:24;22:22:23;22:22:23;22:22:23;22:22:23;22:22:24;22:22:24;;;22:22:27;22:22:27;;00:00:00;00:02:30;;00:00:00;00:00:04;00:02:58;00:00:00;00:00:00;;00:00:03;00:05:38
73;22:22:27;22:22:27;22:22:28;22:22:28;22:24:46;22:24:46;;;22:24:46;22:24:46;22:24:51;22:24:51;22:27:51;22:27:51;22:27:51;22:27:51;22:27:52;22:27:52;;;22:27:55;22:27:55;;00:00:00;00:02:18;;00:00:00;00:00:04;00:03:00;00:00:00;00:00:00;;00:00:03;00:05:27
