Iteration;bike_travel;bike_wait;car_travel;car_wait;car_passenger_travel;car_passenger_wait;pt_travel;pt_wait;stageActivity_travel;stageActivity_wait;walk_travel;walk_wait
149;33765;0;641208;0;19413;0;72802;14738;0;0;86300;0
150;33823;0;671638;0;19249;0;69062;14427;0;0;86734;0
151;33771;0;634081;0;18994;0;70812;14629;0;0;86684;0
152;33791;0;641529;0;19079;0;75721;14773;0;0;86637;0
153;33750;0;667293;0;19101;0;71870;14692;0;0;86210;0
154;33727;0;672615;0;18866;0;79541;14294;0;0;86028;0
155;33729;0;620414;0;19115;0;70204;14723;0;0;86542;0
156;33713;0;662474;0;18957;0;71806;14637;0;0;86352;0
157;33710;0;686798;0;19000;0;72461;14514;0;0;85943;0
158;33786;0;623238;0;19071;0;71688;14596;0;0;86356;0
159;33778;0;615841;0;18970;0;71308;14723;0;0;86801;0
160;33783;0;613982;0;19295;0;73828;14534;0;0;86448;0
161;33819;0;674015;0;19283;0;69699;14678;0;0;86763;0
162;33793;0;625125;0;19337;0;70701;14883;0;0;86592;0
163;33794;0;633380;0;19104;0;65936;14617;0;0;86798;0
164;33691;0;662088;0;19070;0;74871;14665;0;0;86303;0
165;33714;0;658842;0;18798;0;77546;14335;0;0;86146;0
166;33831;0;633772;0;18845;0;69444;14688;0;0;86693;0
167;33770;0;618558;0;18768;0;72641;14778;0;0;86644;0
168;33808;0;647146;0;18815;0;68130;14547;0;0;86836;0
169;33724;0;634377;0;19042;0;74628;14458;0;0;86459;0
170;33765;0;672906;0;18995;0;74545;14430;0;0;86408;0
171;33822;0;665851;0;18997;0;70840;14526;0;0;86626;0
172;33721;0;640234;0;18940;0;75678;14453;0;0;86356;0
173;33809;0;618303;0;19124;0;68117;14660;0;0;86589;0
174;33796;0;588757;0;19127;0;72495;14657;0;0;86436;0
175;33714;0;639295;0;19116;0;82566;14460;0;0;86235;0
176;33772;0;650311;0;19188;0;73221;14716;0;0;86679;0
177;33762;0;618874;0;19158;0;75346;14757;0;0;86326;0
178;33778;0;630256;0;19074;0;72168;14646;0;0;86536;0
179;33796;0;671423;0;19108;0;69343;14723;0;0;86776;0
180;33774;0;644944;0;19201;0;73518;14613;0;0;86292;0
181;33799;0;609732;0;18218;0;67979;14348;0;0;86970;0
182;33812;0;600084;0;18127;0;66295;14402;0;0;87038;0
183;33804;0;623067;0;18001;0;65990;14391;0;0;87032;0
184;33811;0;637440;0;17975;0;65144;14325;0;0;87060;0
185;33807;0;646804;0;17934;0;64878;14238;0;0;87051;0
186;33807;0;628053;0;17894;0;65259;14332;0;0;87095;0
187;33801;0;632765;0;17853;0;65760;14291;0;0;87097;0
188;33796;0;639973;0;17782;0;65979;14294;0;0;87064;0
189;33789;0;663339;0;17762;0;65658;14358;0;0;87062;0
190;33794;0;666481;0;17752;0;65540;14268;0;0;86957;0
191;33798;0;669174;0;17742;0;65825;14251;0;0;86981;0
192;33790;0;672933;0;17731;0;65413;14252;0;0;86947;0
193;33803;0;672342;0;17743;0;65641;14249;0;0;86995;0
194;33792;0;676205;0;17712;0;65214;14251;0;0;86996;0
195;33793;0;678012;0;17684;0;65259;14245;0;0;87026;0
196;33800;0;674259;0;17685;0;65548;14254;0;0;86980;0
197;33791;0;670410;0;17666;0;65408;14271;0;0;87040;0
198;33794;0;671265;0;17624;0;65473;14275;0;0;87007;0
199;33793;0;641619;0;17618;0;66070;14280;0;0;87055;0
200;33783;0;669892;0;17596;0;65791;14285;0;0;87006;0
