ITERATION;avg. Average Leg distance;avg. Average Trip distance
75;3224.409761895504;8706.775108874002
76;3221.8013707339974;8704.055872649973
77;3227.7014791937386;8717.812853056152
78;3225.5740861074405;8709.342168907953
79;3227.5158636874444;8712.481640884685
80;3224.333138185466;8704.839026070233
81;3216.0002237560043;8684.525558056253
82;3226.387103254453;8707.018701521714
83;3220.8567023800083;8693.30241937097
84;3222.1896580773555;8700.067073242551
85;3232.5098031348966;8724.943761599967
86;3226.8957890945985;8715.791694663174
87;3220.1358382532953;8700.027537282667
88;3223.8765677362344;8707.130036728166
89;3221.2697542321166;8700.467853906304
90;3230.122770589899;8724.55116192454
91;3222.6819949829232;8703.303877506907
92;3228.677264704034;8715.064731308472
93;3231.767554767268;8723.738577522114
94;3217.025445004003;8690.272491926806
95;3216.379719303864;8683.913302625426
96;3236.9046243581242;8732.59692627514
97;3232.9123606094895;8731.919995395347
98;3211.342171437306;8677.949823577917
99;3234.242196906033;8729.98817617618
100;3220.792941010679;8696.784764929052
101;3221.6241235285756;8698.56304686564
102;3231.4201515146283;8724.004451694385
103;3242.4344096489795;8760.480300533272
104;3204.2602524931103;8655.12138183201
105;3226.1007451580613;8716.375107358212
106;3245.265669150324;8763.430866605204
107;3230.353334613356;8725.335758943856
108;3232.281453637372;8722.854294471124
109;3234.579172754682;8738.09418275254
110;3224.9061111478336;8709.175442213467
111;3234.6653753421956;8731.96680597304
112;3226.7886386136724;8717.234397453853
113;3207.7746880164877;8665.180327071253
114;3234.8672018794964;8739.086923274379
115;3229.6073925310366;8721.487209434094
116;3239.5817140412623;8741.279911613778
117;3226.2004061612074;8708.424609855774
118;3235.516158004588;8738.685627064806
119;3231.2056482062526;8725.524711271204
120;3235.9777087017746;8736.523766251059
121;3226.5439790849223;8713.57843573053
122;3221.778264931701;8706.036029721019
123;3225.7355982047916;8711.74693731271
124;3222.4086743610947;8700.633530664652
125;3238.609333241758;8739.71716467687
126;3216.3732007215494;8687.996235168095
127;3140.550145021787;8504.64849782538
128;3220.2965526594885;8702.879102137122
129;3223.451871454568;8710.856474599786
130;3231.754426510237;8727.948043374228
131;3239.311299781299;8739.429817573999
132;3229.6937944723195;8718.857739790592
133;3233.990755451702;8731.12319319756
134;3226.9705865787255;8712.973138419338
135;3217.843535594384;8693.945974123553
136;3231.224568400022;8729.040970156866
137;3223.7576663646432;8700.790911848571
138;3232.8082594577068;8724.001557438678
139;3225.900991558591;8713.823916769164
140;3220.7119255047373;8702.568515450916
141;3223.169233160251;8703.0948564157
142;3217.1820462868586;8691.333913035205
143;3228.6439175861374;8720.705818185446
144;3204.7270010136576;8650.980523032755
145;3223.8327362755167;8704.15974335732
146;3204.9767260278354;8658.774911683064
147;3194.2852198928645;8634.832567906136
148;3231.2105290777895;8719.70531439782
149;3226.7384282917365;8711.491240378533
150;3234.4194320475985;8737.925050167802
151;3223.272255058146;8704.675571944605
152;3237.9419299657156;8741.249032997954
153;3209.767465754284;8673.00296890778
154;3233.7853240313057;8725.643151649365
155;3225.965743125066;8711.027084544428
156;3221.501237538435;8698.33978856084
157;3206.2727371403016;8660.908173277177
158;3214.491878434118;8686.528610483481
159;3236.8963043848976;8742.069116485478
160;3232.442650141096;8729.627812133102
161;3239.026104782155;8749.651911290095
162;3218.04017351959;8693.900693854044
163;3247.3730941203753;8770.36677342458
164;3226.8101598168532;8713.35160100805
165;3222.14103074567;8701.066136345073
166;3220.052232565005;8698.410634383143
167;3231.1798959544403;8727.239419631362
168;3223.5975520414204;8708.138508106085
169;3229.4477411737953;8714.619557433982
