dist,bike,car,car_passenger,pt,walk
6400.0,0.03163830893747549,0.7608942278265427,0.06641274658526651,0.12728205224867215,0.013772664402043085
6500.0,0.032669482055268366,0.760324919766139,0.06575423627052103,0.12681932241585075,0.014432039492220619
6600.0,0.03320014870127275,0.7599951122707289,0.06514930543218492,0.1258609059357009,0.015794527660112617
6700.0,0.033387246634436867,0.7595326493095536,0.06476784105925981,0.12487421844754514,0.017438044549204713
6800.0,0.03390625914029637,0.7585127063298023,0.06444620191372834,0.12416948061250965,0.018965352003663255
6900.0,0.035564448637407375,0.7566592443353122,0.06391421767924349,0.1235257634680563,0.020336325879980712
7000.0,0.03891208172861489,0.7536926373571573,0.06303249873397138,0.12287180495600257,0.021490977224253867
7100.0,0.043798814990083805,0.7495490461441674,0.06199534843782005,0.12239668983537998,0.022260100592548748
7200.0,0.04939536107350515,0.7446821042464359,0.06107407114778693,0.12237143456530278,0.02247702896696923
7300.0,0.05489176442851047,0.7399586298481989,0.06030238590482159,0.12283960231050363,0.02200761750796537
7400.0,0.05998033210311236,0.7358225535608024,0.05960797895474131,0.12366404925391812,0.020925086127425864
7500.0,0.06470446738097785,0.7322936913767433,0.05892081476881067,0.12460622159100515,0.019474804882463063
7600.0,0.06899018557393675,0.7290204776241099,0.05823306247665218,0.1256880753210026,0.01806819900429846
7700.0,0.07250888005309736,0.7260197295148005,0.05774038776299553,0.1268538032965949,0.016877199372511538
7800.0,0.07474145377368518,0.7236275719315785,0.05762981212542657,0.1281629204855924,0.015838241683717315
7900.0,0.07524463466204763,0.7222447504283179,0.05803566032726845,0.12971740818430433,0.014757546398061578
8000.0,0.074259684492602,0.7219440004940019,0.05881650605195741,0.1313470314179572,0.01363277754348143
8100.0,0.07217229590795948,0.7224661093516629,0.05981935290865942,0.13295877923171942,0.012583462599998768
8200.0,0.0692359930855418,0.7234617917968357,0.06100061658242598,0.1345621240216419,0.011739474513554723
8300.0,0.06536168421845019,0.7249190332697367,0.06242227006138289,0.13606073553326078,0.011236276917169361
8400.0,0.0604386482506671,0.7272755797349081,0.06411098032998376,0.13701715417178711,0.01115763751265395
8500.0,0.05466730102612677,0.7307298717144305,0.06591047669954085,0.137288468538249,0.011403882021652838
8600.0,0.04868171423922531,0.734810012458502,0.06772856562032203,0.1370545355325116,0.011725172149439037
8700.0,0.04307632651300415,0.7388874038654338,0.06945458786877148,0.1366688808516547,0.011912800901135752
8800.0,0.03820341998542955,0.7423671912172756,0.0708319891841216,0.13649268773996645,0.012104711873206858
8900.0,0.03465021546538226,0.7446717988270591,0.07184175666995604,0.13640922515002127,0.012427003887581304
9000.0,0.032663806629372634,0.7457304190206216,0.0725995157086343,0.13627427698954514,0.012731981651826402
9100.0,0.03237189788065744,0.7454336939215116,0.07338318873269503,0.13604465132691224,0.012766568138223773
9200.0,0.033760247818648434,0.7438979967670049,0.07421452495394282,0.13560213431223833,0.0125250961481655
9300.0,0.035973116266804564,0.7415313221385509,0.07511710021258802,0.13497151144849204,0.012406949933564577
9400.0,0.0382478028796897,0.7387031259441397,0.07615856457852936,0.13408385280322038,0.012806653794421006
9500.0,0.039993486482476706,0.7356490943804995,0.07730406617104928,0.1331667273567743,0.013886625609200304
9600.0,0.040875889402432995,0.7330100675625276,0.07844406470563722,0.1321752220502994,0.015494756279102625
